Desa/Kelurahan,Kode Wilayah,Kecamatan,Jumlah Penduduk,Belum/Tidak Bekerja,Mengurus Rumah Tangga,Pelajar/Mahasiswa,Karyawan Swasta,Wiraswasta
Tlogolele,3309012001,Selo,2799,524,243,409,30,50
Klakah,3309012002,Selo,3132,656,170,413,31,73
Jrakah,3309012003,Selo,4582,803,238,642,81,155
Lencoh,3309012004,Selo,3460,607,186,550,59,83
Suroteleng,3309012005,Selo,1919,302,51,332,45,126
Samiran,3309012006,Selo,4038,621,622,742,194,298
Selo,3309012007,Selo,3122,473,110,539,82,225
Tarubatang,3309012008,Selo,2834,427,148,501,110,78
Senden,3309012009,Selo,2349,348,132,407,88,113
Jeruk,3309012010,Selo,2931,447,105,514,119,320
Tanduk,3309022002,Ampel,6617,1238,782,1336,721,744
Banyuanyar,3309022003,Ampel,2714,432,181,511,484,158
Sidomulyo,3309022004,Ampel,4820,803,389,947,952,372
Ngargosari,3309022005,Ampel,3954,625,252,727,1046,165
Selodoko,3309022006,Ampel,4001,719,410,642,714,218
Ngenden,3309022007,Ampel,2348,419,424,444,362,131
Ngampon,3309022008,Ampel,1763,287,285,339,206,47
Gondang Slamet,3309022009,Ampel,1570,247,104,303,321,42
Candi,3309022010,Ampel,7877,1376,1185,1612,1272,848
Urutsewu,3309022011,Ampel,6639,1135,823,1328,1014,915
Wonodoyo,3309032001,Cepogo,2663,511,204,380,148,43
Jombong,3309032002,Cepogo,2391,437,70,381,254,117
Gedangan,3309032003,Cepogo,4412,857,90,726,263,287
Sumbung,3309032004,Cepogo,4128,782,217,752,592,214
Paras,3309032005,Cepogo,1093,221,68,168,205,174
Jelok,3309032006,Cepogo,6582,1191,234,1152,983,1201
Bakulan,3309032007,Cepogo,1962,385,99,347,281,159
Candigatak,3309032008,Cepogo,3409,737,297,561,419,544
Cabean Kunti,3309032009,Cepogo,4620,954,270,724,699,479
Mliwis,3309032010,Cepogo,7257,1492,480,1309,1199,600
Sukabumi,3309032011,Cepogo,3803,774,711,674,207,869
Genting,3309032012,Cepogo,2342,464,44,372,110,288
Cepogo,3309032013,Cepogo,8524,1773,303,1571,1604,800
Kembang Kuning,3309032014,Cepogo,4878,1001,257,744,958,266
Gubug,3309032015,Cepogo,4484,863,376,788,566,267
Pagerjurang,3309042011,Musuk,1142,201,161,189,212,43
Sukorejo,3309042012,Musuk,5939,1143,225,983,1025,389
Sruni,3309042013,Musuk,3576,686,141,669,386,489
Cluntang,3309042014,Musuk,2607,454,67,427,371,38
Kembangsari,3309042015,Musuk,2939,488,59,451,681,103
Ringin Larik,3309042016,Musuk,3062,531,146,518,380,377
Kebongulo,3309042017,Musuk,1713,312,160,314,257,197
Musuk,3309042018,Musuk,5533,995,424,994,905,589
Sukorame,3309042019,Musuk,3691,661,270,666,915,240
Pusporenggo,3309042020,Musuk,3394,621,315,668,742,260
Pulisen,3309051001,Boyolali,11675,2036,1152,2542,2071,1096
Siswodipuran,3309051002,Boyolali,10606,1967,957,2154,1607,1659
Banaran,3309051004,Boyolali,8070,1462,732,1617,1288,1306
Karanggeneng,3309052003,Boyolali,11239,1878,1070,2298,1754,1655
Winong,3309052005,Boyolali,8067,1538,770,1336,1542,551
Penggung,3309052006,Boyolali,7601,1324,580,1392,1565,791
Kiringan,3309052007,Boyolali,8643,1561,879,1639,1468,1065
Mudal,3309052008,Boyolali,6325,1051,690,1217,1182,494
Kebonbimo,3309052009,Boyolali,3280,535,331,612,689,258
Kemiri,3309061007,Mojosongo,7830,1974,807,1144,1629,480
Mojosongo,3309061009,Mojosongo,6954,1309,617,1445,1720,487
Madu,3309062001,Mojosongo,1728,379,215,222,341,125
Singosari,3309062002,Mojosongo,4338,963,276,604,938,209
Tambak,3309062003,Mojosongo,5246,1161,389,821,801,647
Manggis,3309062004,Mojosongo,6855,1540,429,1204,702,2153
Jurug,3309062005,Mojosongo,5115,1223,553,790,663,606
Karangnongko,3309062006,Mojosongo,3601,867,501,524,594,317
Butuh,3309062008,Mojosongo,2719,605,206,450,686,209
Kragilan,3309062010,Mojosongo,6269,1311,808,1065,1377,369
Brajan,3309062011,Mojosongo,2112,470,250,321,545,80
Metuk,3309062012,Mojosongo,5120,956,605,947,1029,450
Dlingo,3309062013,Mojosongo,4171,796,504,704,886,299
Kopen,3309072001,Teras,3853,690,463,805,662,439
Doplang,3309072002,Teras,3772,621,292,770,870,268
Kadireso,3309072003,Teras,3939,723,269,742,1181,211
Nepen,3309072004,Teras,2602,430,177,526,534,421
Sudimoro,3309072005,Teras,3052,537,284,611,645,301
Bangsalan,3309072006,Teras,2626,492,151,476,537,345
Salakan,3309072007,Teras,4024,773,399,769,786,314
Teras,3309072008,Teras,6686,1244,785,1272,1553,407
Randusari,3309072009,Teras,8769,1584,777,1777,2477,544
Mojolegi,3309072010,Teras,3947,644,425,807,880,296
Gumukrejo,3309072011,Teras,2712,518,287,469,720,69
Tawangsari,3309072012,Teras,3431,644,260,653,808,92
Krasak,3309072013,Teras,2791,453,258,549,734,120
Kateguhan,3309082001,Sawit,3433,568,415,681,734,192
Manjung,3309082002,Sawit,2430,360,362,480,600,77
Gombang,3309082003,Sawit,2404,377,286,445,478,319
Tegalrejo,3309082004,Sawit,3098,530,339,592,606,214
Tlawong,3309082005,Sawit,2491,418,231,439,537,163
Jenengan,3309082006,Sawit,2974,499,209,569,722,295
Cepokosawit,3309082007,Sawit,2002,296,235,392,466,140
Kemasan,3309082008,Sawit,3058,473,399,600,567,554
Jatirejo,3309082009,Sawit,2778,441,319,519,662,159
Bendosari,3309082010,Sawit,2613,375,348,518,589,148
Karangduren,3309082011,Sawit,2821,417,322,584,566,339
Guwokajen,3309082012,Sawit,2979,457,279,573,702,149
Dukuh,3309092001,Banyudono,3856,770,293,696,747,317
Jipangan,3309092002,Banyudono,2784,514,220,448,653,197
Jembungan,3309092003,Banyudono,4255,665,330,819,948,395
Sambon,3309092004,Banyudono,4085,764,305,778,1143,266
Kuwiran,3309092005,Banyudono,3803,617,438,767,847,347
Cangkringan,3309092006,Banyudono,2353,431,239,449,665,109
Ngaru Aru,3309092007,Banyudono,4193,681,447,870,934,408
Bendan,3309092008,Banyudono,5222,911,330,1065,1067,938
Ketaon,3309092009,Banyudono,4359,782,409,801,1059,424
Banyudono,3309092010,Banyudono,4052,717,356,761,1080,289
Batan,3309092011,Banyudono,2934,552,308,507,805,328
Denggungan,3309092012,Banyudono,4090,792,432,762,884,504
Bangak,3309092013,Banyudono,3333,663,390,614,724,253
Trayu,3309092014,Banyudono,2682,501,244,481,653,203
Tanjungsari,3309092015,Banyudono,2263,349,256,437,460,93
Canden,3309102001,Sambi,5727,1182,428,1060,1355,462
Senting,3309102002,Sambi,3286,666,510,673,612,196
Tempursari,3309102003,Sambi,3589,695,238,684,918,154
Jatisari,3309102004,Sambi,2531,503,248,480,664,44
Glintang,3309102005,Sambi,2724,507,266,492,727,89
Catur,3309102006,Sambi,2084,353,176,395,462,57
Tawengan,3309102007,Sambi,2307,441,223,439,489,51
Sambi,3309102008,Sambi,5014,942,408,1048,1033,437
Demangan,3309102009,Sambi,3123,569,282,622,577,245
Kepoh,3309102010,Sambi,2679,530,342,481,577,75
Jagoan,3309102011,Sambi,4134,725,203,760,1155,60
Babadan,3309102012,Sambi,3160,581,390,599,621,153
Ngaglik,3309102013,Sambi,2072,424,201,346,482,33
Trosobo,3309102014,Sambi,2485,462,149,461,578,73
Cermo,3309102015,Sambi,2340,458,268,401,418,53
Nglembu,3309102016,Sambi,2180,361,220,427,448,133
Ngargorejo,3309112001,Ngemplak,3794,735,342,669,849,211
Sobokerto,3309112002,Ngemplak,7583,1725,773,1330,1116,1038
Ngesrep,3309112003,Ngemplak,7041,1273,1018,1466,1252,590
Gagaksipat,3309112004,Ngemplak,10181,2065,1260,1902,2492,644
Donohudan,3309112005,Ngemplak,7982,1602,543,1609,1759,1332
Sawahan,3309112006,Ngemplak,11904,2545,1554,2444,2427,927
Pandeyan,3309112007,Ngemplak,8751,1750,734,1679,2499,436
Kismoyoso,3309112008,Ngemplak,9831,2068,531,1945,2631,238
Dibal,3309112009,Ngemplak,7133,1359,927,1410,1038,331
Sindon,3309112010,Ngemplak,5712,1257,667,980,1347,321
Manggung,3309112011,Ngemplak,7602,1661,673,1333,1828,358
Giriroto,3309112012,Ngemplak,6839,1508,465,1244,2059,328
Kenteng,3309122001,Nogosari,6515,1272,343,1265,1635,812
Potronayan,3309122002,Nogosari,6994,1311,684,1340,1781,384
Sembungan,3309122003,Nogosari,6671,1247,924,1364,1466,372
Jeron,3309122004,Nogosari,6794,1179,716,1298,1764,603
Ketitang,3309122005,Nogosari,7388,1296,650,1455,2109,593
Rembun,3309122006,Nogosari,4831,828,465,891,1122,544
Guli,3309122007,Nogosari,6326,1118,665,1235,1333,503
Tegalgiri,3309122008,Nogosari,4384,789,451,770,1169,212
Bendo,3309122009,Nogosari,2440,400,212,412,601,56
Keyongan,3309122010,Nogosari,7485,1290,811,1370,1598,472
Pojok,3309122011,Nogosari,3660,562,310,630,997,159
Glonggong,3309122012,Nogosari,6178,991,700,1109,1361,463
Pulutan,3309122013,Nogosari,6017,925,705,1136,775,1654
Pelem,3309132001,Simo,6066,1271,788,1079,1088,570
Bendungan,3309132002,Simo,2694,559,232,454,508,215
Temon,3309132003,Simo,2750,579,313,430,573,132
Teter,3309132004,Simo,3726,770,542,639,709,277
Simo,3309132005,Simo,4914,1037,623,881,1115,278
Walen,3309132006,Simo,3700,872,627,551,591,209
Pentur,3309132007,Simo,3483,751,501,530,691,201
Gunung,3309132008,Simo,3746,766,570,537,681,218
Talakbroto,3309132009,Simo,2440,539,444,383,478,59
Kedung Lengkong,3309132010,Simo,5272,1328,756,801,981,207
Blagung,3309132011,Simo,5607,1332,981,898,1022,243
Sumber,3309132012,Simo,3824,916,760,546,747,121
Wates,3309132013,Simo,4368,1046,653,623,781,287
Manyaran,3309142001,Karanggede,4662,945,704,749,931,139
Sempulur,3309142002,Karanggede,2491,580,296,429,375,219
Klumpit,3309142003,Karanggede,2222,491,364,346,237,212
Pinggir,3309142004,Karanggede,2432,515,315,376,521,108
Bantengan,3309142005,Karanggede,3797,812,582,616,645,354
Tegalsari,3309142006,Karanggede,3118,707,420,516,816,155
Sranten,3309142007,Karanggede,3121,654,430,556,578,234
Grogolan,3309142008,Karanggede,2609,561,503,418,476,87
Mojosari,3309142009,Karanggede,1303,279,265,198,189,76
Pengkol,3309142010,Karanggede,3736,812,468,579,859,211
Karangkepoh,3309142011,Karanggede,2693,494,553,531,439,135
Sendang,3309142012,Karanggede,4276,948,817,639,862,145
Kebonan,3309142013,Karanggede,3812,792,488,740,533,646
Klari,3309142014,Karanggede,3061,691,576,454,376,261
Bangkok,3309142015,Karanggede,2654,549,397,424,377,238
Dologan,3309142016,Karanggede,2272,506,241,347,566,70
Kalangan,3309152001,Klego,4092,801,368,664,508,758
Sendangrejo,3309152002,Klego,3877,804,442,596,820,109
Tanjung,3309152003,Klego,5226,1143,497,870,734,268
Jaten,3309152004,Klego,1873,339,221,322,440,50
Blumbang,3309152005,Klego,2563,487,181,463,226,544
Sangge,3309152006,Klego,3654,752,273,559,914,193
Banyu Urip,3309152007,Klego,4529,957,686,811,675,427
Bade,3309152008,Klego,4724,1060,822,787,500,202
Klego,3309152009,Klego,4395,851,682,787,622,328
Gondanglegi,3309152010,Klego,3517,774,418,593,881,106
Karanggatak,3309152011,Klego,2440,488,273,406,297,266
Sumber Agung,3309152012,Klego,5965,1266,1032,1051,874,756
Karangmojo,3309152013,Klego,4498,739,412,934,398,1124
Pakel,3309162001,Andong,4105,781,345,705,529,1041
Gondang Rawe,3309162002,Andong,3445,586,254,644,484,674
Sempu,3309162003,Andong,8497,1684,868,1453,1337,1645
Beji,3309162004,Andong,4536,835,593,828,395,1084
Mojo,3309162005,Andong,6750,1325,670,1334,788,1645
Senggrong,3309162006,Andong,3090,582,463,548,550,304
Kedungdowo,3309162007,Andong,3099,550,285,516,495,376
Kacangan,3309162008,Andong,4807,929,622,897,820,769
Andong,3309162009,Andong,5116,939,546,959,631,1120
Munggur,3309162010,Andong,2268,416,313,392,373,344
Pakang,3309162011,Andong,2065,359,148,358,232,363
Pranggong,3309162012,Andong,2471,435,210,422,522,142
Kunti,3309162013,Andong,2842,460,427,576,695,121
Pelemrejo,3309162014,Andong,2567,452,196,455,602,216
Semawung,3309162015,Andong,2509,424,521,433,517,228
Kadipaten,3309162016,Andong,6153,1027,456,1164,1042,1397
Watugede,3309172001,Kemusu,2720,917,194,155,397,247
Kedungrejo,3309172002,Kemusu,1786,513,167,125,173,245
Sarimulyo,3309172003,Kemusu,1922,648,212,118,197,184
Klewor,3309172004,Kemusu,2842,856,373,224,500,433
Bawu,3309172005,Kemusu,4974,1732,627,316,521,348
Kendel,3309172006,Kemusu,5888,2009,370,438,1071,209
Kemusu,3309172010,Kemusu,4878,1639,590,333,768,406
Genengsari,3309172011,Kemusu,4389,1339,752,415,621,207
Kedungmulyo,3309172012,Kemusu,3642,1178,543,270,442,217
Wonoharjo,3309172013,Kemusu,3028,997,409,206,416,194
Karangjati,3309182002,Wonosegoro,6036,1333,625,978,1284,543
Ketoyan,3309182003,Wonosegoro,3519,779,310,533,626,522
Bolo,3309182004,Wonosegoro,3331,804,272,440,465,617
Banyusri,3309182005,Wonosegoro,3758,829,343,498,821,387
Gosono,3309182006,Wonosegoro,2115,421,226,320,392,125
Wonosegoro,3309182007,Wonosegoro,3148,610,349,570,661,328
Bandung,3309182008,Wonosegoro,3147,730,270,498,497,372
Bojong,3309182014,Wonosegoro,4183,794,417,620,678,447
Kauman,3309182019,Wonosegoro,4594,1367,323,343,618,1033
Lemahireng,3309182020,Wonosegoro,3301,1013,484,266,384,214
Guwo,3309182021,Wonosegoro,3639,1087,461,372,464,396
Sambeng,3309191006,Juwangi,2677,832,550,132,197,130
Krobokan,3309192001,Juwangi,3150,1053,700,141,147,202
Ngaren,3309192002,Juwangi,2519,901,607,93,111,210
Kalimati,3309192003,Juwangi,4199,1328,723,233,139,418
Kayen,3309192004,Juwangi,4224,1337,959,206,379,265
Jerukan,3309192005,Juwangi,3104,974,667,199,202,176
Pilangrejo,3309192007,Juwangi,4425,1312,1093,409,427,306
Cerme,3309192008,Juwangi,1532,319,286,183,69,130
Juwangi,3309192009,Juwangi,5801,1604,1107,624,508,806
Ngleses,3309192010,Juwangi,4821,1476,657,358,675,247
Seboto,3309202001,Gladagsari,5023,742,452,958,815,160
Kaligentong,3309202002,Gladagsari,6332,1077,822,1260,1144,457
Gladagsari,3309202003,Gladagsari,3888,572,463,832,676,370
Kembang,3309202004,Gladagsari,6219,1092,582,1151,1118,348
Ngagrong,3309202005,Gladagsari,3898,523,160,701,388,123
Candisari,3309202006,Gladagsari,2530,431,123,447,357,118
Ngargoloko,3309202007,Gladagsari,1718,248,75,276,264,17
Sampetan,3309202008,Gladagsari,6625,1068,632,1322,1048,259
Ngadirojo,3309202009,Gladagsari,5162,839,502,990,1153,163
Jlarem,3309202010,Gladagsari,3098,486,169,544,617,82
Lampar,3309212001,Tamansari,3517,677,249,511,355,373
Dragan,3309212002,Tamansari,2326,418,415,392,228,305
Karanganyar,3309212003,Tamansari,3380,639,365,524,339,343
Jemowo,3309212004,Tamansari,5651,987,377,896,695,433
Sumur,3309212005,Tamansari,2272,313,77,352,289,215
Sangup,3309212006,Tamansari,2695,527,116,341,157,64
Mriyan,3309212007,Tamansari,2329,476,386,309,228,66
Lanjaran,3309212008,Tamansari,1959,315,45,283,262,168
Karang Kendal,3309212009,Tamansari,2688,522,106,423,603,113
Keposong,3309212010,Tamansari,4022,643,309,712,429,471
Ngablak,3309222001,Wonosamodro,2640,575,161,362,421,278
Kedungpilang,3309222002,Wonosamodro,2332,485,187,421,353,210
Kalinanas,3309222003,Wonosamodro,2734,498,119,380,396,134
Gilirejo,3309222004,Wonosamodro,2066,400,128,305,335,94
Jatilawang,3309222005,Wonosamodro,3131,646,305,381,346,246
Garangan,3309222006,Wonosamodro,3655,771,241,509,448,576
Bercak,3309222007,Wonosamodro,1909,391,125,244,198,313
Bengle,3309222008,Wonosamodro,4756,922,406,687,674,329
Gunungsari,3309222009,Wonosamodro,3440,645,200,476,366,211
Repaking,3309222010,Wonosamodro,5849,1114,558,863,1064,261
